41,N,80,W,Youngstown,OH
42,N,97,W,Yankton,SD
46,N,120,W,Yakima,WA
42,N,71,W,Worcester,MA
43,N,89,W,WisconsinDells,WI
36,N,80,W,Winston-Salem,NC
49,N,97,W,Winnipeg,MB
39,N,78,W,Winchester,VA
34,N,77,W,Wilmington,NC
39,N,75,W,Wilmington,DE
48,N,103,W,Williston,ND
41,N,77,W,Williamsport,PA
37,N,82,W,Williamson,WV
33,N,98,W,WichitaFalls,TX
37,N,97,W,Wichita,KS
40,N,80,W,Wheeling,WV
26,N,80,W,WestPalmBeach,FL
47,N,120,W,Wenatchee,WA
41,N,122,W,Weed,CA
31,N,82,W,Waycross,GA
44,N,89,W,Wausau,WI
42,N,87,W,Waukegan,IL
44,N,97,W,Watertown,SD
43,N,75,W,Watertown,NY
42,N,92,W,Waterloo,IA
41,N,73,W,Waterbury,CT
38,N,77,W,Washington,DC
41,N,79,W,Warren,PA
46,N,118,W,WallaWalla,WA
31,N,97,W,Waco,TX
38,N,87,W,Vincennes,IN
28,N,97,W,Victoria,TX
32,N,90,W,Vicksburg,MS
49,N,123,W,Vancouver,BC
46,N,98,W,ValleyCity,ND
30,N,83,W,Valdosta,GA
43,N,75,W,Utica,NY
39,N,79,W,Uniontown,PA
32,N,95,W,Tyler,TX
42,N,114,W,TwinFalls,ID
33,N,87,W,Tuscaloosa,AL
34,N,88,W,Tupelo,MS
36,N,95,W,Tulsa,OK
32,N,110,W,Tucson,AZ
37,N,104,W,Trinidad,CO
40,N,74,W,Trenton,NJ
44,N,85,W,TraverseCity,MI
43,N,79,W,Toronto,ON
39,N,95,W,Topeka,KS
41,N,83,W,Toledo,OH